10210;2.0;62.0;6.0;10210;;;0
10263;0.0;3.0;0.0;10258;10221.0;10306.0;0
10300;2.0;60.0;6.0;10295;;;0
10392;0.0;0.0;0.0;10387;10349.0;10433.0;0
10517;0.0;3.0;0.0;10512;10475.0;10559.0;0
10552;2.0;60.0;6.0;10547;;;0
10644;0.0;3.0;0.0;10639;10601.0;10687.0;0
10724;2.0;62.0;6.0;10724;;;0
10774;0.0;3.0;0.0;10769;10730.0;10817.0;0
10843;2.0;62.0;6.0;10841;;;0
10905;0.0;0.0;0.0;10900;10861.0;10946.0;0
10941;2.0;60.0;6.0;10936;;;0
11030;0.0;0.0;0.0;11025;10988.0;11073.0;0
11066;2.0;61.0;6.0;11061;;;0
11160;0.0;0.0;0.0;11155;11116.0;11203.0;0
11290;0.0;3.0;0.0;11285;11246.0;11333.0;0
11326;2.0;60.0;6.0;11321;;;0
11420;0.0;4.0;0.0;11415;11376.0;11463.0;0
11456;2.0;61.0;6.0;11451;;;0
11500;2.0;62.0;6.0;11496;;;0
11551;0.0;4.0;0.0;11547;11507.0;11594.0;0
11587;2.0;61.0;6.0;11582;;;0
11682;0.0;0.0;0.0;11677;11638.0;11725.0;0
11718;2.0;61.0;6.0;11713;;;0
11812;0.0;4.0;0.0;11807;11768.0;11854.0;0
11849;2.0;60.0;6.0;11844;;;0
11939;0.0;3.0;0.0;11935;11896.0;11981.0;0
12066;0.0;4.0;0.0;12061;12023.0;12109.0;0
12103;2.0;60.0;6.0;12098;;;0
12133;2.0;63.0;6.0;12133;;;0
12196;0.0;4.0;0.0;12191;12152.0;12239.0;0
12233;2.0;61.0;6.0;12228;;;0
12326;0.0;1.0;0.0;12321;12282.0;12369.0;0
12456;0.0;3.0;0.0;12451;12412.0;12498.0;0
12519;2.0;63.0;6.0;12519;;;0
12584;0.0;3.0;0.0;12579;12541.0;12628.0;0
12621;2.0;60.0;6.0;12616;;;0
12716;0.0;0.0;0.0;12711;12672.0;12759.0;0
12752;2.0;61.0;6.0;12747;;;0
12847;0.0;0.0;0.0;12843;12803.0;12889.0;0
12883;2.0;61.0;6.0;12878;;;0
12974;0.0;3.0;0.0;12969;12931.0;13016.0;0
13102;0.0;4.0;0.0;13097;13059.0;13145.0;0
13137;2.0;61.0;6.0;13132;;;0
13233;0.0;0.0;0.0;13228;13189.0;13276.0;0
13268;2.0;61.0;6.0;13263;;;0
13363;0.0;3.0;0.0;13358;13319.0;13405.0;0
13400;2.0;60.0;6.0;13395;;;0
13438;2.0;62.0;6.0;13438;;;0
13490;0.0;3.0;0.0;13485;13447.0;13533.0;0
13527;2.0;60.0;6.0;13522;;;0
13621;0.0;4.0;0.0;13616;13577.0;13663.0;0
13658;2.0;61.0;6.0;13653;;;0
13749;0.0;3.0;0.0;13744;13706.0;13793.0;0
13785;2.0;60.0;6.0;13780;;;0
13881;0.0;0.0;0.0;13877;13837.0;13924.0;0
13915;2.0;60.0;6.0;13910;;;0
14012;0.0;3.0;0.0;14007;13968.0;14054.0;0
14049;2.0;60.0;6.0;14044;;;0
14139;0.0;3.0;0.0;14134;14096.0;14182.0;0
14268;0.0;4.0;0.0;14263;14225.0;14311.0;0
14305;2.0;61.0;6.0;14300;;;0
14397;0.0;0.0;0.0;14392;14354.0;14439.0;0
14433;2.0;60.0;6.0;14428;;;0
14472;2.0;62.0;6.0;14472;;;0
14523;0.0;0.0;0.0;14518;14481.0;14566.0;0
14558;2.0;60.0;6.0;14553;;;0
14652;0.0;4.0;0.0;14648;14609.0;14695.0;0
14689;2.0;61.0;6.0;14684;;;0
14783;0.0;0.0;0.0;14778;14739.0;14824.0;1
14819;2.0;60.0;6.0;14814;;;0
14907;0.0;3.0;0.0;14902;14865.0;14950.0;0
14944;2.0;60.0;6.0;14939;;;0
15036;0.0;4.0;0.0;15031;14993.0;15079.0;0
15073;2.0;61.0;6.0;15068;;;0
15165;0.0;3.0;0.0;15160;15122.0;15207.0;0
15291;0.0;3.0;0.0;15286;15249.0;15334.0;0
15326;2.0;60.0;6.0;15321;;;0
15420;0.0;4.0;0.0;15415;15377.0;15463.0;0
